model,epoch,train_loss,val_loss,device
ANN,1,0.6291975975036621,0.6360105276107788,cuda
ANN,2,0.6267527937889099,0.6326569318771362,cuda
ANN,3,0.6262446284294129,0.6337905526161194,cuda
ANN,4,0.6258756875991821,0.6360698342323303,cuda
ANN,5,0.625731098651886,0.6384833455085754,cuda
ANN,6,0.6255113959312439,0.6392613649368286,cuda
ANN,7,0.6252425312995911,0.6393084526062012,cuda
ANN,8,0.6251179099082946,0.639071524143219,cuda
ANN,9,0.6249429225921631,0.6385561227798462,cuda
ANN,10,0.6247623682022094,0.6385740041732788,cuda
ANN,11,0.6245001077651977,0.6387616395950317,cuda
ANN,12,0.6243832111358643,0.6388553977012634,cuda
ANN,13,0.624269449710846,0.6387412548065186,cuda
ANN,14,0.6241490125656128,0.63872230052948,cuda
QQBN,1,0.6378984689712525,0.6296985149383545,cuda
QQBN,2,0.6315735697746276,0.6503885388374329,cuda
QQBN,3,0.6303796410560608,0.634525716304779,cuda
QQBN,4,0.6274190068244934,0.6318272948265076,cuda
QQBN,5,0.6263883709907532,0.6392862796783447,cuda
QQBN,6,0.625579011440277,0.6436459422111511,cuda
QQBN,7,0.6256893157958985,0.645674467086792,cuda
QQBN,8,0.6257711410522461,0.6451754570007324,cuda
QQBN,9,0.625651741027832,0.6435932517051697,cuda
QQBN,10,0.6253158688545227,0.6430051922798157,cuda
QQBN,11,0.6252346992492676,0.6427868604660034,cuda
QQBN,12,0.6251536846160889,0.6429007053375244,cuda
QQBN,13,0.6250744700431824,0.6432247161865234,cuda
QQTN,1,0.6369855761528015,0.6323590278625488,cuda
QQTN,2,0.6274341821670533,0.6422443985939026,cuda
QQTN,3,0.6265145897865295,0.6488080620765686,cuda
QQTN,4,0.6261804103851318,0.6472792029380798,cuda
QQTN,5,0.6250969171524048,0.6492757201194763,cuda
QQTN,6,0.624010419845581,0.6533715128898621,cuda
QQTN,7,0.6236070990562439,0.6580038070678711,cuda
QQTN,8,0.6234395980834961,0.6610549092292786,cuda
QQTN,9,0.6231642484664917,0.6627388000488281,cuda
QQTN,10,0.6225435376167298,0.6638305187225342,cuda
QQTN,11,0.6223278284072876,0.6653848886489868,cuda
QQTN,12,0.6221148610115051,0.6673005223274231,cuda
QQTN,13,0.621913731098175,0.6693459749221802,cuda
