context,count,p_0,p_1,p_2,p_3
0-0,9,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444
0-1,6,0.0,0.5,0.3333333333333333,0.16666666666666666
0-2,10,0.1,0.2,0.5,0.2
0-3,12,0.0,0.25,0.5,0.25
1-0,14,0.5,0.21428571428571427,0.14285714285714285,0.14285714285714285
1-1,23,0.30434782608695654,0.34782608695652173,0.2608695652173913,0.08695652173913043
1-2,18,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.16666666666666666
1-3,9,0.2222222222222222,0.4444444444444444,0.0,0.3333333333333333
2-0,10,0.2,0.2,0.3,0.3
2-1,20,0.25,0.45,0.1,0.2
2-2,16,0.125,0.5,0.25,0.125
2-3,8,0.125,0.5,0.25,0.125
3-0,3,0.0,0.0,0.0,1.0
3-1,15,0.13333333333333333,0.2,0.5333333333333333,0.13333333333333333
3-2,11,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.09090909090909091
3-3,8,0.0,0.5,0.375,0.125
