model,epoch,loss
ANN,1,0.6915255784988403
ANN,2,0.6910083889961243
ANN,3,0.6899378895759583
ANN,4,0.6891743540763855
ANN,5,0.6887556910514832
ANN,6,0.6880162954330444
ANN,7,0.6872307658195496
ANN,8,0.6867963075637817
ANN,9,0.6863136291503906
ANN,10,0.6858599781990051
ANN,11,0.685386061668396
ANN,12,0.6848480105400085
ANN,13,0.68434077501297
ANN,14,0.6835681200027466
ANN,15,0.6829668879508972
ANN,16,0.6822554469108582
ANN,17,0.6814324259757996
ANN,18,0.6807271838188171
ANN,19,0.6799887418746948
ANN,20,0.6792104244232178
ANN,21,0.6784654259681702
ANN,22,0.6776795387268066
ANN,23,0.6769614219665527
ANN,24,0.6763134598731995
ANN,25,0.6755477786064148
ANN,26,0.6751348376274109
ANN,27,0.6759709715843201
ANN,28,0.6741595268249512
ANN,29,0.6732172966003418
ANN,30,0.6733400225639343
ANN,31,0.6717303395271301
ANN,32,0.6720083951950073
ANN,33,0.6705637574195862
ANN,34,0.6700620055198669
ANN,35,0.6693130135536194
ANN,36,0.6680529713630676
ANN,37,0.6676563620567322
ANN,38,0.6661949157714844
ANN,39,0.6656177043914795
ANN,40,0.6645682454109192
ANN,41,0.6635373830795288
ANN,42,0.6623101234436035
ANN,43,0.660990297794342
ANN,44,0.6600787043571472
ANN,45,0.6589745879173279
ANN,46,0.657654881477356
ANN,47,0.6562047004699707
ANN,48,0.6549881100654602
ANN,49,0.6538232564926147
ANN,50,0.6526005864143372
ANN,51,0.6513819694519043
ANN,52,0.6493852734565735
ANN,53,0.6476105451583862
ANN,54,0.6459635496139526
ANN,55,0.6443792581558228
ANN,56,0.6431227922439575
ANN,57,0.6440519094467163
ANN,58,0.6464274525642395
ANN,59,0.6420425176620483
ANN,60,0.6378108263015747
QQBN,1,0.6911513805389404
QQBN,2,0.6904662847518921
QQBN,3,0.6975542902946472
QQBN,4,0.6882396340370178
QQBN,5,0.6906685829162598
QQBN,6,0.6912767887115479
QQBN,7,0.687874972820282
QQBN,8,0.6876789927482605
QQBN,9,0.6894133687019348
QQBN,10,0.6886334419250488
QQBN,11,0.6869364976882935
QQBN,12,0.6868751645088196
QQBN,13,0.6877812147140503
QQBN,14,0.6874994039535522
QQBN,15,0.6862903237342834
QQBN,16,0.6859044432640076
QQBN,17,0.6864859461784363
QQBN,18,0.6863848567008972
QQBN,19,0.6853872537612915
QQBN,20,0.6850664019584656
QQBN,21,0.6855207085609436
QQBN,22,0.6850249171257019
QQBN,23,0.6841526627540588
QQBN,24,0.6843777894973755
QQBN,25,0.6842047572135925
QQBN,26,0.6833004355430603
QQBN,27,0.6835185289382935
QQBN,28,0.6831488609313965
QQBN,29,0.6824905276298523
QQBN,30,0.6827724575996399
QQBN,31,0.6818799376487732
QQBN,32,0.6821297407150269
QQBN,33,0.6813980340957642
QQBN,34,0.6815711259841919
QQBN,35,0.6808879971504211
QQBN,36,0.6811816096305847
QQBN,37,0.680421769618988
QQBN,38,0.6807622313499451
QQBN,39,0.6802917122840881
QQBN,40,0.6800762414932251
QQBN,41,0.6803919672966003
QQBN,42,0.6798566579818726
QQBN,43,0.6797016263008118
QQBN,44,0.6800214052200317
QQBN,45,0.6797313690185547
QQBN,46,0.6792399287223816
QQBN,47,0.6793020963668823
QQBN,48,0.6794878840446472
QQBN,49,0.6792073249816895
QQBN,50,0.6786882281303406
QQBN,51,0.6784917116165161
QQBN,52,0.6786177754402161
QQBN,53,0.6787194013595581
QQBN,54,0.6785140037536621
QQBN,55,0.6780537366867065
QQBN,56,0.6776645183563232
QQBN,57,0.6775391697883606
QQBN,58,0.6776363253593445
QQBN,59,0.6779593229293823
QQBN,60,0.6785830855369568
QQTN,1,0.6926905512809753
QQTN,2,0.7040656805038452
QQTN,3,0.6887678503990173
QQTN,4,0.6937323808670044
QQTN,5,0.6930875182151794
QQTN,6,0.6887200474739075
QQTN,7,0.6877093315124512
QQTN,8,0.6894729733467102
QQTN,9,0.6893859505653381
QQTN,10,0.6874277591705322
QQTN,11,0.6863093376159668
QQTN,12,0.6869007349014282
QQTN,13,0.6873921155929565
QQTN,14,0.6864147186279297
QQTN,15,0.6850122213363647
QQTN,16,0.6846882700920105
QQTN,17,0.6850557327270508
QQTN,18,0.6844679713249207
QQTN,19,0.6831168532371521
QQTN,20,0.6826712489128113
QQTN,21,0.6829376220703125
QQTN,22,0.6820027828216553
QQTN,23,0.6807629466056824
QQTN,24,0.680901288986206
QQTN,25,0.6803260445594788
QQTN,26,0.6792182326316833
QQTN,27,0.679574728012085
QQTN,28,0.6785849332809448
QQTN,29,0.6784132719039917
QQTN,30,0.678224503993988
QQTN,31,0.6774871349334717
QQTN,32,0.677641749382019
QQTN,33,0.6767694354057312
QQTN,34,0.6769088506698608
QQTN,35,0.6760331392288208
QQTN,36,0.6760944724082947
QQTN,37,0.6753441691398621
QQTN,38,0.6751960515975952
QQTN,39,0.6746318340301514
QQTN,40,0.6742495894432068
QQTN,41,0.6738453507423401
QQTN,42,0.6732112169265747
QQTN,43,0.6729515194892883
QQTN,44,0.6721158623695374
QQTN,45,0.6718118786811829
QQTN,46,0.6710440516471863
QQTN,47,0.6703877449035645
QQTN,48,0.6699106097221375
QQTN,49,0.6690168976783752
QQTN,50,0.6682668328285217
QQTN,51,0.667739987373352
QQTN,52,0.6670826077461243
QQTN,53,0.6662652492523193
QQTN,54,0.6654080152511597
QQTN,55,0.6646631956100464
QQTN,56,0.6643131971359253
QQTN,57,0.6651884913444519
QQTN,58,0.6669332385063171
QQTN,59,0.664437472820282
QQTN,60,0.6599923372268677
