context,count,p_0,p_1,p_2,p_3
0-0,21,0.23809523809523808,0.23809523809523808,0.19047619047619047,0.3333333333333333
0-1,11,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.09090909090909091
0-2,19,0.2631578947368421,0.15789473684210525,0.3684210526315789,0.21052631578947367
0-3,21,0.19047619047619047,0.19047619047619047,0.38095238095238093,0.23809523809523808
1-0,23,0.43478260869565216,0.13043478260869565,0.21739130434782608,0.21739130434782608
1-1,31,0.2903225806451613,0.3548387096774194,0.22580645161290322,0.12903225806451613
1-2,25,0.24,0.28,0.36,0.12
1-3,14,0.21428571428571427,0.35714285714285715,0.0,0.42857142857142855
2-0,18,0.2222222222222222,0.16666666666666666,0.3888888888888889,0.2222222222222222
2-1,31,0.25806451612903225,0.3870967741935484,0.16129032258064516,0.1935483870967742
2-2,29,0.13793103448275862,0.4482758620689655,0.3103448275862069,0.10344827586206896
2-3,11,0.09090909090909091,0.36363636363636365,0.36363636363636365,0.18181818181818182
3-0,10,0.2,0.0,0.3,0.5
3-1,19,0.15789473684210525,0.21052631578947367,0.47368421052631576,0.15789473684210525
3-2,17,0.23529411764705882,0.47058823529411764,0.23529411764705882,0.058823529411764705
3-3,20,0.1,0.3,0.25,0.35
