Model name,Dataset / asset,Model family,Feature set,Directional Accuracy,Accuracy,Precision,Recall,F1,Majority baseline accuracy,Momentum baseline accuracy,Validation threshold,Validation F1,Validation accuracy,Sharpe ratio,Information coefficient,Training time,Inference time,Parameter count,Data source,Notes
Majority baseline,AAPL,Baseline,Target distribution,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.0,0.7027027027027027,0.5416666666666666,0.375,N/A,N/A,N/A,-0.20596427102256953,N/A,0.0,0.0,0,yfinance,Time-ordered test baseline for  the next-day up/down prediction track.
Momentum baseline,AAPL,Baseline,Previous-day return sign,0.375,0.375,0.42857142857142855,0.46153846153846156,0.4444444444444445,0.5416666666666666,0.375,N/A,N/A,N/A,0.955152535868921,N/A,0.0,0.0,0,yfinance,Time-ordered test baseline for  the next-day up/down prediction track.
ANN,AAPL,ANNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.5416666666666666,0.5416666666666666,0.5454545454545454,0.9230769230769231,0.6857142857142856,0.5416666666666666,0.375,0.49,0.25,0.5,1.2276612614205755,-0.17717242639222108,2.0208024000003206,0.00037689999999201973,625,yfinance,"Classical ANN comparison from the interim qubit/qutrit paper track.  the bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=16, device=cuda."
QQBN,AAPL,QQBNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,0.5416666666666666,0.375,0.52,0.6857142857142856,0.5416666666666666,0.20596427102256953,-0.08620414443009078,0.026086599999871396,0.0005965000000287546,1089,yfinance,"Qubit-inspired comparison model from the interim QQBN track.  the bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=16, device=cuda."
QQTN,AAPL,QQTNClassifier,"Open, High, Low, Close, Volume, RSI, MACD, MACD_Signal, MACD_Hist, SMA5, SMA10, SMA20, ADX, Return_1, Log_Return_1, Return_2, Return_5, Momentum_3, Momentum_5, Volatility_5, Volatility_10, Volatility_20, Close_SMA5_Ratio, Close_SMA10_Ratio, Close_SMA20_Ratio, High_Low_Range, Open_Close_Range, Volume_Change, Volume_ZScore_20",0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.5416666666666666,0.375,0.475,0.6666666666666667,0.5,0.08461445782831929,-0.19000978117784129,0.020051899999998568,0.000840899999730027,1553,yfinance,"Main  the model. Reuses the qutrit-inspired three-state feature map from the interim QQTN track.  the bidirectional direction track: next-day up/down target, train-only feature scaling, time-ordered train/validation/test split, validation-calibrated probability threshold. Feature count=29, hidden_dim=16, device=cuda."
