symbol,model,threshold,validation_accuracy,validation_precision,validation_recall,validation_f1
AAPL,ANN,0.49,0.5,0.6666666666666666,0.15384615384615385,0.25
AAPL,QQBN,0.52,0.5416666666666666,0.5454545454545454,0.9230769230769231,0.6857142857142856
AAPL,QQTN,0.475,0.5,0.5217391304347826,0.9230769230769231,0.6666666666666667
MSFT,ANN,0.47,0.5833333333333334,0.5909090909090909,0.9285714285714286,0.7222222222222223
MSFT,QQBN,0.5249999999999999,0.4166666666666667,0.5,0.5714285714285714,0.5333333333333333
MSFT,QQTN,0.495,0.5416666666666666,0.5714285714285714,0.8571428571428571,0.6857142857142857
