symbol,model,epoch,train_loss,val_loss,device
AAPL,ANN,1,0.6886406540870667,0.6930161118507385,cuda
AAPL,ANN,2,0.6861437857151031,0.6883469820022583,cuda
AAPL,QQBN,1,0.6885964870452881,0.6731430292129517,cuda
AAPL,QQBN,2,0.6839580237865448,0.6688396334648132,cuda
AAPL,QQTN,1,0.6855343282222748,0.6773767471313477,cuda
AAPL,QQTN,2,0.6780038774013519,0.6675465703010559,cuda
MSFT,ANN,1,0.7299482226371765,0.6999779343605042,cuda
MSFT,ANN,2,0.7284785211086273,0.7050893902778625,cuda
MSFT,QQBN,1,0.7350005209445953,0.7382844686508179,cuda
MSFT,QQBN,2,0.7297683656215668,0.751772940158844,cuda
MSFT,QQTN,1,0.7312587797641754,0.724897027015686,cuda
MSFT,QQTN,2,0.7252654433250427,0.7208277583122253,cuda
