context,count,p_0,p_1,p_2,p_3
0-0,8,0.0,0.125,0.5,0.375
0-1,5,0.0,0.6,0.4,0.0
0-2,9,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.1111111111111111
0-3,9,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222
1-0,10,0.6,0.2,0.2,0.0
1-1,19,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.10526315789473684
1-2,17,0.29411764705882354,0.29411764705882354,0.23529411764705882,0.17647058823529413
1-3,7,0.2857142857142857,0.42857142857142855,0.0,0.2857142857142857
2-0,10,0.2,0.2,0.3,0.3
2-1,17,0.23529411764705882,0.47058823529411764,0.11764705882352941,0.17647058823529413
2-2,13,0.15384615384615385,0.46153846153846156,0.23076923076923078,0.15384615384615385
2-3,7,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285
3-0,3,0.0,0.0,0.0,1.0
3-1,12,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.16666666666666666
3-2,9,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111
3-3,5,0.0,0.6,0.4,0.0
