epoch,fidelity_loss
1,0.43152105383690886
2,0.4247209955274451
3,0.41906801325990545
4,0.41904875774324446
5,0.41863928145326534
6,0.39749777174001816
7,0.39718114003663185
8,0.3931980746940659
9,0.3832239496499964
10,0.34791422887020684
11,0.34232866420546715
12,0.2892155775400706
13,0.28870304220310256
14,0.23591878397774715
15,0.229638642177597
16,0.22161517748243026
17,0.21735376944993925
18,0.21018259065204636
19,0.1726052564097774
20,0.16470451965039748
21,0.15470025084316114
22,0.14687228616182
23,0.1261534764808131
24,0.10152092384230604
25,0.09701065200140549
26,0.08937609157394893
27,0.08905467216686616
28,0.08903987410978173
29,0.08487986043741769
30,0.07799563688023342
31,0.07797208612637047
32,0.076033344381045
33,0.07406447026197652
34,0.0605761116885202
35,0.05767649090075702
36,0.05715097004063016
37,0.05409758112207089
38,0.05137290049837434
39,0.046951193746469805
40,0.04461287702809161
41,0.0430704121849354
42,0.03805509495652257
43,0.034779418920120514
44,0.031122835137403104
45,0.030480626547478573
46,0.02863030559698529
47,0.027303748036798053
48,0.026613517161926836
49,0.026528086500390125
50,0.024670947080669386
51,0.023966610193712934
52,0.02386422061297666
53,0.0219994054540098
54,0.021400387184614872
55,0.020879682814275186
56,0.018636867766204324
57,0.01782763183860131
58,0.016730161145605132
59,0.015877571312981842
60,0.015214149273701072
61,0.01521247164336123
62,0.012673617593181613
63,0.011994100149795878
64,0.01135561087166373
65,0.011106861981671712
66,0.01108723905055961
67,0.010075370077762574
68,0.009009896566965242
69,0.008097070498967518
70,0.008036899145265147
71,0.00762337355681264
72,0.007442246885915438
73,0.0071580225434584865
74,0.006097371819455022
75,0.005879778897558585
76,0.005790353852065305
77,0.005714360241400068
78,0.005649824658918584
79,0.0056470644896516875
80,0.005082784145798713
81,0.004499230726842357
82,0.0038691346972322405
83,0.0037996370340037666
84,0.0036947180245850975
85,0.003688248487909551
86,0.0032752710100834304
87,0.0029818179556272972
88,0.0029682013044218247
89,0.00266017817078823
90,0.0023986170019327235
91,0.0023390298369533047
92,0.002151412020859722
93,0.0021310943684741956
94,0.00208068266044259
95,0.0018771932894566246
96,0.0017655794707051586
97,0.0016664812450028488
98,0.0015786259761240429
99,0.0014559173514658852
100,0.0013913005613275242
