model,epoch,train_loss,val_loss,device
ANN,1,0.6881925563017527,0.6890547871589661,cuda
ANN,2,0.6814064085483551,0.6869900822639465,cuda
ANN,3,0.6805932521820068,0.6877293586730957,cuda
ANN,4,0.6802035470803579,0.6879405379295349,cuda
ANN,5,0.6784495313962301,0.6884331107139587,cuda
ANN,6,0.6755116979281107,0.6920010447502136,cuda
ANN,7,0.6731514036655426,0.6947529911994934,cuda
ANN,8,0.6721280912558237,0.6971559524536133,cuda
ANN,9,0.6708654860655466,0.6996967792510986,cuda
ANN,10,0.6695426801840464,0.7033081650733948,cuda
ANN,11,0.6682037711143494,0.7053794860839844,cuda
ANN,12,0.6676836510499319,0.7070699334144592,cuda
ANN,13,0.6671558817227682,0.7086169123649597,cuda
ANN,14,0.6666019558906555,0.7103227972984314,cuda
QQBN,1,0.6939887007077535,0.7036628723144531,cuda
QQBN,2,0.6860582927862803,0.6966623663902283,cuda
QQBN,3,0.6822646657625834,0.6866835951805115,cuda
QQBN,4,0.6732414861520132,0.7103469967842102,cuda
QQBN,5,0.6736449400583903,0.7242010831832886,cuda
QQBN,6,0.6746492385864258,0.7212659120559692,cuda
QQBN,7,0.670821080605189,0.7442536950111389,cuda
QQBN,8,0.6697239379088084,0.7496426105499268,cuda
QQBN,9,0.669904500246048,0.7463874220848083,cuda
QQBN,10,0.6689782043298086,0.7499985694885254,cuda
QQBN,11,0.6681660910447439,0.7576022148132324,cuda
QQBN,12,0.6676287949085236,0.7587197422981262,cuda
QQBN,13,0.6675698657830557,0.7578125,cuda
QQBN,14,0.6673106650511423,0.7580822110176086,cuda
QQBN,15,0.6670064032077789,0.7602025866508484,cuda
QQTN,1,0.7050528327624003,0.6906799077987671,cuda
QQTN,2,0.6741705437501272,0.7247442007064819,cuda
QQTN,3,0.6778955360253652,0.7183391451835632,cuda
QQTN,4,0.6718800067901611,0.7392998337745667,cuda
QQTN,5,0.6674073338508606,0.7685196399688721,cuda
QQTN,6,0.6673380732536316,0.764733076095581,cuda
QQTN,7,0.6662169198195139,0.7602763175964355,cuda
QQTN,8,0.6644944349924723,0.7676600217819214,cuda
QQTN,9,0.6633663773536682,0.7773504257202148,cuda
QQTN,10,0.6627342700958252,0.778723955154419,cuda
QQTN,11,0.6624483863512675,0.7784384489059448,cuda
QQTN,12,0.6619642575581869,0.7799471020698547,cuda
QQTN,13,0.6614404221375784,0.7839096784591675,cuda
