symbol,model,epoch,train_loss,val_loss,device
AAPL,ANN,1,0.6636244455973307,0.6616902351379395,cuda
AAPL,ANN,2,0.6600441137949625,0.653204083442688,cuda
AAPL,ANN,3,0.6606794595718384,0.6523785591125488,cuda
AAPL,ANN,4,0.6602595349152883,0.6522484421730042,cuda
AAPL,ANN,5,0.6597865025202433,0.651863694190979,cuda
AAPL,ANN,6,0.6594026982784271,0.6513188481330872,cuda
AAPL,ANN,7,0.6591357737779617,0.6510814428329468,cuda
AAPL,ANN,8,0.6586646089951197,0.6506508588790894,cuda
AAPL,ANN,9,0.658372143904368,0.6502388119697571,cuda
AAPL,ANN,10,0.657539298137029,0.6494154334068298,cuda
AAPL,ANN,11,0.6572957386573156,0.6494426727294922,cuda
AAPL,ANN,12,0.6564600765705109,0.6487595438957214,cuda
AAPL,ANN,13,0.6562724908192953,0.6488226652145386,cuda
AAPL,ANN,14,0.6543165693680445,0.6479726433753967,cuda
AAPL,ANN,15,0.6536479194959005,0.6479533910751343,cuda
AAPL,ANN,16,0.6520195305347443,0.648244321346283,cuda
AAPL,ANN,17,0.6511674125989279,0.6492420434951782,cuda
AAPL,ANN,18,0.6490035057067871,0.6496052145957947,cuda
AAPL,ANN,19,0.6481190919876099,0.648829460144043,cuda
AAPL,ANN,20,0.6438516726096472,0.6533478498458862,cuda
AAPL,ANN,21,0.6443623105684916,0.651223361492157,cuda
AAPL,ANN,22,0.6413750350475311,0.6543298363685608,cuda
AAPL,ANN,23,0.6401031489173571,0.654731035232544,cuda
AAPL,ANN,24,0.6391580502192179,0.6551931500434875,cuda
AAPL,ANN,25,0.6384883026281992,0.655695915222168,cuda
AAPL,ANN,26,0.6377579992016157,0.6562927961349487,cuda
AAPL,ANN,27,0.6368464455008507,0.6566232442855835,cuda
AAPL,ANN,28,0.6365540251135826,0.6567252278327942,cuda
AAPL,ANN,29,0.6362032989660898,0.6571589112281799,cuda
AAPL,QQBN,1,0.6735887924830118,0.6512280702590942,cuda
AAPL,QQBN,2,0.6669569859902064,0.6518324017524719,cuda
AAPL,QQBN,3,0.661706288655599,0.654259979724884,cuda
AAPL,QQBN,4,0.659863809744517,0.6502396464347839,cuda
AAPL,QQBN,5,0.6608015497525533,0.6510190367698669,cuda
AAPL,QQBN,6,0.6597156971693039,0.6502453684806824,cuda
AAPL,QQBN,7,0.659382238984108,0.6495705842971802,cuda
AAPL,QQBN,8,0.6589476466178894,0.6493574380874634,cuda
AAPL,QQBN,9,0.6583267350991567,0.6491504907608032,cuda
AAPL,QQBN,10,0.6578252812226614,0.6493183970451355,cuda
AAPL,QQBN,11,0.6572352200746536,0.6497134566307068,cuda
AAPL,QQBN,12,0.6566780855258306,0.6503165364265442,cuda
AAPL,QQBN,13,0.6561109920342764,0.6510575413703918,cuda
AAPL,QQBN,14,0.6540661056836446,0.651911199092865,cuda
AAPL,QQBN,15,0.6539317766825358,0.6520890593528748,cuda
AAPL,QQBN,16,0.6533216883738836,0.6527172327041626,cuda
AAPL,QQBN,17,0.6530279368162155,0.653111457824707,cuda
AAPL,QQBN,18,0.6518475313981374,0.6536514163017273,cuda
AAPL,QQBN,19,0.6517075002193451,0.6538013219833374,cuda
AAPL,QQBN,20,0.6514254858096441,0.6539726257324219,cuda
AAPL,QQBN,21,0.651149183511734,0.6542451977729797,cuda
AAPL,QQBN,22,0.6505658229192098,0.6544591784477234,cuda
AAPL,QQBN,23,0.6504479944705963,0.6545764803886414,cuda
AAPL,QQTN,1,0.6681929876406988,0.6554213166236877,cuda
AAPL,QQTN,2,0.6625177760918936,0.6531962156295776,cuda
AAPL,QQTN,3,0.6559759030739466,0.6495078802108765,cuda
AAPL,QQTN,4,0.6538691023985544,0.654097318649292,cuda
AAPL,QQTN,5,0.6496486663818359,0.671875536441803,cuda
AAPL,QQTN,6,0.6471624299883842,0.6997599601745605,cuda
AAPL,QQTN,7,0.6455144782861074,0.7260279059410095,cuda
AAPL,QQTN,8,0.6429423515995344,0.7283535003662109,cuda
AAPL,QQTN,9,0.6414675464232763,0.7398715019226074,cuda
AAPL,QQTN,10,0.6409411802887917,0.7479301691055298,cuda
AAPL,QQTN,11,0.6404164036115011,0.7559204697608948,cuda
AAPL,QQTN,12,0.6385611866911253,0.7600167393684387,cuda
AAPL,QQTN,13,0.6381324256459872,0.7642428874969482,cuda
AAPL,QQTN,14,0.6377931584914526,0.7687565088272095,cuda
AAPL,QQTN,15,0.6374776264031728,0.7727884650230408,cuda
AAPL,QQTN,16,0.6366398980220159,0.7750453948974609,cuda
AAPL,QQTN,17,0.6364827627936999,0.7766512632369995,cuda
MSFT,ANN,1,0.6719342470169067,0.6693910360336304,cuda
MSFT,ANN,2,0.6653480331103007,0.6730260848999023,cuda
MSFT,ANN,3,0.6658120006322861,0.6756981015205383,cuda
MSFT,ANN,4,0.6632855882247289,0.6805245876312256,cuda
MSFT,ANN,5,0.6616127441326777,0.6857913136482239,cuda
MSFT,ANN,6,0.6601234177748362,0.6891070008277893,cuda
MSFT,ANN,7,0.659538189570109,0.6914466023445129,cuda
MSFT,ANN,8,0.6589536368846893,0.6938170790672302,cuda
MSFT,ANN,9,0.6583973467350006,0.6956567168235779,cuda
MSFT,ANN,10,0.6576632410287857,0.6970497965812683,cuda
MSFT,ANN,11,0.657380630572637,0.6981155276298523,cuda
MSFT,ANN,12,0.6570760011672974,0.6990731954574585,cuda
MSFT,ANN,13,0.6567775855461756,0.6998963356018066,cuda
MSFT,ANN,14,0.6564016888538996,0.7003477215766907,cuda
MSFT,ANN,15,0.6562399367491404,0.7007626891136169,cuda
MSFT,QQBN,1,0.6622838328282038,0.6958552598953247,cuda
MSFT,QQBN,2,0.6964524686336517,0.6707932353019714,cuda
MSFT,QQBN,3,0.6639880885680517,0.675555944442749,cuda
MSFT,QQBN,4,0.6676903665065765,0.6765013337135315,cuda
MSFT,QQBN,5,0.6618685821692148,0.6876914501190186,cuda
MSFT,QQBN,6,0.6616486857334772,0.6953619718551636,cuda
MSFT,QQBN,7,0.6602271497249603,0.7008565664291382,cuda
MSFT,QQBN,8,0.660181944568952,0.7006422281265259,cuda
MSFT,QQBN,9,0.6598231395085653,0.7011700868606567,cuda
MSFT,QQBN,10,0.6595508207877477,0.7021355032920837,cuda
MSFT,QQBN,11,0.6590362638235092,0.7025221586227417,cuda
