epoch,Classical LSTM,Standalone CustomQNN,HybridQNN1
1,0.041317787021398544,0.08925753831863403,0.34222471714019775
2,0.17237351834774017,0.063081756234169,0.20893914997577667
3,0.06380824744701385,0.04343040660023689,0.14195755124092102
4,0.018574625253677368,0.03287927061319351,0.07029789686203003
5,0.0395130030810833,0.026972826570272446,0.04344452545046806
6,0.08972003310918808,0.02433488517999649,0.03598327189683914
7,0.07182064652442932,0.023201171308755875,0.0447377935051918
8,0.05431380867958069,0.02267497405409813,0.035373445600271225
9,0.046444568783044815,0.022417500615119934,0.041921358555555344
10,,0.0222910288721323,0.033938340842723846
11,,0.02222459390759468,0.04031522199511528
12,,0.022182459011673927,0.03285742551088333
13,,0.022149179130792618,0.03864806890487671
14,,0.022119028493762016,0.03193965554237366
15,,0.02209003083407879,0.03704095631837845
16,,0.022061454132199287,0.031153153628110886
17,,0.0220329612493515,0.03553024306893349
18,,0.022004421800374985,0.030413422733545303
19,,0.021975809708237648,0.03419496491551399
20,,0.02194717898964882,0.02977149561047554
Test,104.1060791015625,0.03882155939936638,44.2064
