epoch,Classical LSTM,Standalone CustomQNN,HybridQNN1
1,0.6370092034339905,0.003320926334708929,0.20192696154117584
2,0.5435718297958374,0.0012691161828115582,0.18386811017990112
3,0.4552936851978302,0.00829014927148819,0.15520928800106049
4,0.3705533742904663,,
5,0.28796854615211487,,
6,0.20728321373462677,,
7,0.13032938539981842,,
8,0.06271340698003769,,
9,0.015363195911049843,,
10,0.0004410214314702898,,
11,0.011607985943555832,,
12,0.017064016312360764,,
13,0.009440785273909569,,
14,0.004699517972767353,,
15,0.0014564433367922902,,
