context,count,p_0,p_1,p_2,p_3
0-0,7,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855
0-1,5,0.0,0.6,0.4,0.0
0-2,7,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0
0-3,9,0.0,0.2222222222222222,0.5555555555555556,0.2222222222222222
1-0,10,0.6,0.2,0.2,0.0
1-1,13,0.38461538461538464,0.3076923076923077,0.15384615384615385,0.15384615384615385
1-2,11,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.18181818181818182
1-3,6,0.3333333333333333,0.5,0.0,0.16666666666666666
2-0,8,0.125,0.25,0.25,0.375
2-1,12,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.16666666666666666
2-2,10,0.2,0.4,0.2,0.2
2-3,6,0.16666666666666666,0.5,0.3333333333333333,0.0
3-0,3,0.0,0.0,0.0,1.0
3-1,10,0.1,0.1,0.6,0.2
3-2,8,0.25,0.5,0.125,0.125
3-3,3,0.0,0.6666666666666666,0.3333333333333333,0.0
