epoch,Classical LSTM,Standalone CustomQNN,HybridQNN1
1,0.6718214750289917,0.03785976022481918,0.28077036142349243
2,0.6074253916740417,0.0019404817139729857,0.21213576197624207
3,0.5456932187080383,,
4,0.48618823289871216,,
5,0.42838725447654724,,
6,0.3718068599700928,,
7,0.3160867691040039,,
8,0.2610915005207062,,
9,0.20702043175697327,,
10,0.15457117557525635,,
11,0.10513406246900558,,
12,0.061029721051454544,,
13,0.026066601276397705,,
14,0.005046977195888758,,
15,0.001041020848788321,,
16,0.010492485016584396,,
17,0.021051153540611267,,
18,0.023125547915697098,,
19,0.02018534019589424,,
20,0.015225762501358986,,
