epoch,fidelity_loss
1,0.409714724269177
2,0.37456875505647824
3,0.3605520083586009
4,0.32503617825150527
5,0.288485663325868
6,0.25168666967232517
7,0.25167428258840013
8,0.21723601813089194
9,0.18113680560348577
10,0.18060129374280587
11,0.1632144159494054
12,0.14520034387283356
13,0.14510762902074187
14,0.1450632443318239
15,0.12747580650193702
16,0.10840891394328991
17,0.09242623120528391
18,0.09225518438431267
19,0.09223496925901832
20,0.09221158205477759
21,0.09209575495873434
22,0.08144078565557995
23,0.07137311296385951
24,0.07137031585234893
25,0.07136831666513922
26,0.07134000663662383
27,0.06200619220121582
28,0.05447369119151317
29,0.04851353840769705
30,0.048446755076433784
31,0.04844352874178649
32,0.04509495953638243
33,0.04503804444133576
34,0.04225026274925851
35,0.04190092687933651
36,0.04177704465263232
37,0.03798651644798601
38,0.03795605592635855
39,0.03792369255812206
40,0.035349045479933144
41,0.03245792511205213
42,0.03241580091853832
43,0.027756308031955487
44,0.027441814486519042
45,0.02743952728610516
46,0.027437201135053726
47,0.027317429362304232
48,0.027317322274158895
49,0.02727786245043906
50,0.0247090939096411
51,0.021861538421428794
52,0.02174521632268947
53,0.020109630419065203
54,0.02002557440202407
55,0.01999233178803582
56,0.019021786881103855
57,0.01755836311144568
58,0.015648736109283246
59,0.01562407187123846
60,0.015541039241436044
61,0.014307170063735095
62,0.014299438787970353
63,0.014299412069066084
64,0.014258845670618789
65,0.01323981550576006
66,0.01323933161711495
67,0.013150574984095734
68,0.012463836998940228
69,0.012463194513986545
70,0.01246038341171353
71,0.012459607330342085
72,0.011757344133467282
73,0.011670250342683403
74,0.011670124535235304
75,0.011093222590401491
76,0.010719602890277458
77,0.010634063796436041
78,0.010592681817324881
79,0.010588814354670531
80,0.010574170011063519
81,0.009782692936250198
82,0.009663897836017926
83,0.009663499780310239
84,0.009594542746122398
85,0.009193029613966563
86,0.009005152566051403
87,0.008132008660895362
88,0.007598252012077755
89,0.007590391357304632
90,0.007582853414551727
91,0.007222549636531253
92,0.007161887249994753
93,0.006543972514648805
94,0.0060252242609488416
95,0.0060228855846763685
96,0.006012866795390551
97,0.00600931584755425
98,0.005818413511709586
99,0.005817867593243264
100,0.005769317818377848
