Model name,Dataset / asset,Number of qubits,VQC layers,Feature set,RMSE,MAE,Directional Accuracy,Training time,Inference time,Parameter count,Circuit depth,Notes
Naive previous-close baseline,AAPL,5,1,"Open, High, Low, Close, SMA5",3.3655569992350594,2.5266969203948975,0.0,0.0,1.2700000297627412e-05,0,N/A,Full dataset. Predicts next close as previous close.
HybridQNN1,AAPL,5,1,"Open, High, Low, Close, SMA5",6.648792369440019,5.34553337097168,0.46511627906976744,1426.7897703999988,0.20008190000044124,5206,33,Full dataset. LSTM feature extractor with trainable Pauli Product Rotation QNN layer.
