epoch,fidelity_loss
1,0.4490478341519347
2,0.4485819818278658
3,0.4404443650029418
4,0.4403941547398945
5,0.43534188787729866
6,0.41381471367019873
7,0.39959085867254385
8,0.39096570566251576
9,0.3823067740490723
10,0.35630967902964494
11,0.3369142641275762
12,0.2874477869024996
13,0.2858056645619207
14,0.2828239101740077
15,0.2826537106973821
16,0.27165982749698225
17,0.2548169532157888
18,0.2156331889672694
19,0.20225480649520156
20,0.1933913850583926
21,0.1679808136326998
22,0.1513573377597178
23,0.1436151259782627
24,0.14350071117925584
25,0.1399455789266707
26,0.13893220215023583
27,0.13327484715142604
28,0.13213173661357205
29,0.12487013971024805
30,0.1248206526148184
31,0.121478829620804
32,0.11940400050914815
33,0.10900923145042353
34,0.10783191770156038
35,0.10759387160492276
36,0.09884119072729157
37,0.09663052215860321
38,0.0963348685091481
39,0.0963134491406878
40,0.0917734302299062
41,0.09104447356854081
42,0.08892358681786167
43,0.08866382050518565
44,0.08788695777775424
45,0.08722444183690407
46,0.0870499613965938
47,0.08635517704193049
48,0.08349170628352251
49,0.08245291881891312
50,0.08214157276562112
51,0.08204322154858362
52,0.0796974867819341
53,0.07891989307943031
54,0.07857091656107429
55,0.07722362484551441
56,0.0769765029883529
57,0.07672098416604939
58,0.07606490314872563
59,0.07314784071008457
60,0.07240226009162712
61,0.07068201878442831
62,0.06973252286790996
63,0.06916761341383887
64,0.06854865672721618
65,0.06842951331552138
66,0.06774196536957733
67,0.06719467900675342
68,0.06654450587335745
69,0.06624387049644592
70,0.06608030833875797
71,0.06604377523049691
72,0.06549815323848548
73,0.06485389435589058
74,0.06402753213921554
75,0.06402314018375929
76,0.06393258248555111
77,0.06392236389063613
78,0.06382199181949474
79,0.06376296969142203
80,0.06368227574448623
81,0.06334707244321444
82,0.06317509118076728
83,0.06307114560696382
84,0.06296358544249275
85,0.06277159786196941
86,0.06268585785348574
87,0.06256546538592603
88,0.06205821592735136
89,0.062003605451910526
90,0.06184725271260416
91,0.06183977753229024
92,0.06145079753289413
93,0.06071911374104407
94,0.06071667370370105
95,0.06009538614225806
96,0.059568536352687995
97,0.05944146680816013
98,0.05941031695837938
99,0.059318682651998224
100,0.05905644299993325
