Model name,Dataset / asset,Number of qubits,VQC layers,Feature set,RMSE,MAE,Directional Accuracy,Training time,Inference time,Parameter count,Circuit depth,Accuracy,Precision,Recall,F1,Data source,Notes
BiLSTM baseline,AAPL,N/A,N/A,"Open, High, Low, Close, Volume, RSI, MACD, SMA5, ADX, Return_1",3.765738849607372,2.699164430635701,0.475,3.9241593000006105,0.01307010000164155,605186,N/A,0.475,0.0,0.0,0.0,yfinance,"Bidirectional LSTM encoder with attention pooling and classical dense head. Time-ordered 80/20 split, next-day direction target, implied next-close curve derived from train-set mean up/down returns. Window=24, hidden_dim=128, device=cuda."
BiLSTM-QQTN hybrid,AAPL,N/A,N/A,"Open, High, Low, Close, Volume, RSI, MACD, SMA5, ADX, Return_1",3.743095919843423,2.685360678291249,0.475,1.54760179999721,0.00917680000202381,621634,N/A,0.475,0.0,0.0,0.0,yfinance,"Bidirectional LSTM encoder with attention pooling followed by a qutrit-inspired feature map and dense classifier. Time-ordered 80/20 split, next-day direction target, implied next-close curve derived from train-set mean up/down returns. Window=24, hidden_dim=128, device=cuda."
