Model name,Dataset / asset,Number of qubits,VQC layers,Feature set,RMSE,MAE,Directional Accuracy,Training time,Inference time,Parameter count,Circuit depth,Data source,Notes
BiLSTM regressor,AAPL,N/A,N/A,"Open, High, Low, Close, Volume, RSI, MACD, SMA5, ADX, Return_1",15.577329678562647,13.367648620605468,0.5,4.748993400000472,0.007183999998233048,343298,N/A,yfinance,"Bidirectional LSTM encoder with attention pooling and classical regression head. Time-ordered 80/20 split, next-day close regression target, MinMax-scaled target, and holdout price-curve comparison. Window=24, hidden_dim=96, device=cuda."
BiLSTM-QQTN regressor,AAPL,N/A,N/A,"Open, High, Low, Close, Volume, RSI, MACD, SMA5, ADX, Return_1",22.342314959979884,19.85384567260742,0.485,4.891298099999403,0.004008699997939402,352562,N/A,yfinance,"Bidirectional LSTM encoder with attention pooling followed by a qutrit-inspired feature map and dense regression head. Time-ordered 80/20 split, next-day close regression target, MinMax-scaled target, and holdout price-curve comparison. Window=24, hidden_dim=96, device=cuda."
